46501;Bethany Lindsey;08/01/2002;21:41:32;T-Network;died will it much worn hat;6;IGNORE
46502;Ronald Beach;13/05/2014;00:13:49;Proximus;took;1;OPEN
46503;Joshua Carlson;29/05/2001;12:07:39;Proximus;where;6;IN PROGRESS
46504;Rhonda Nichols;10/03/2009;14:40:36;Mobistart;want;10;CLOSED
46505;Jerry Thornton;24/10/2013;10:54:35;Proximus;write much many until I generated;9;IN PROGRESS
46506;Kylie Foster;30/06/2012;03:37:28;Mobistart;asked world ship web man;5;IGNORE
46507;Matthew Walter;29/06/2003;16:52:14;Yappa;I or of island constantly days from;3;IN PROGRESS
46508;Grace Allen;17/04/2016;16:58:52;Eurosys;what is have trees;8;IGNORE
46509;Michael Campbell;08/05/2007;08:54:08;Eurosys;find to they island with;3;OPEN
46510;Tommy Norman;28/06/2009;01:12:23;Cegeka;to my shepherd boon rabbit television;1;CLOSED
46511;Melissa Gallagher;03/04/2006;00:19:02;XCOMM;to keys sacrifice wrong trying no;1;OPEN
46512;Marion McDowell;30/03/2003;09:52:53;Eurosys;constantly of I of;0;IGNORE
46513;Alissa Phelps;02/01/2003;07:35:56;ACA-IT;will came out on television of;8;IGNORE
46514;Breanna Bradford;01/04/2002;06:06:09;Yappa;caves list lost;10;IGNORE
46515;Pamela Duncan;25/09/2016;14:43:08;Mobistart;;9;IN PROGRESS
46516;Joann Marks;30/09/2010;13:15:07;Eurosys;window we who;0;CLOSED
46517;Dusty Blake;19/12/2015;19:26:06;T-Network;no is ghost until want the;4;OPEN
46518;Trisha Blanchard;10/04/2008;03:08:43;Telenet;keys man much;2;OPEN
46519;Mandy Landry;01/12/2009;04:09:09;Telenet;of probably lock;2;CLOSED
46520;Vanessa Reed;12/11/2000;10:05:14;XCOMM;moved fire much probably about;10;IGNORE
46521;Barb Schroeder;09/01/2004;06:52:40;T-Network;on out text with badly from keys;4;CLOSED
46522;Annette Vazquez;06/12/2013;04:06:14;XCOMM;in took;3;IGNORE
46523;Sue Marquez;01/10/2015;17:17:06;T-Network;we red should;8;CLOSED
46524;Alan White;23/10/2015;03:57:05;Proximus;write sidekick until it's numbers;1;OPEN
46525;Leroy Ortiz;13/08/2013;04:40:31;XCOMM;cold end;10;CLOSED
46526;Blake Hanson;08/12/2011;07:43:08;Cegeka;numbers ghost;6;OPEN
46527;Anna Ratliff;07/02/2011;14:25:02;Mobistart;room dad books;8;IN PROGRESS
46528;Ronald Goodman;06/03/2008;05:53:28;Eurosys;window badly took assert are sill keys;4;CLOSED
46529;Eugene Francis;13/04/2003;07:49:11;PXL;lots from to found lost;7;IGNORE
46530;Benjamin Blanchard;03/01/2004;13:52:39;Telenet;lots on;2;IGNORE
46531;Kristen Mejia;04/01/2013;05:16:45;Cegeka;have is boon words ending automatically window;2;IGNORE
46532;Diane Rasmussen;24/11/2009;22:43:43;Eurosys;;1;OPEN
46533;Levi Williams;06/08/2006;23:29:03;Eurosys;my sacrifice enter assert;7;IN PROGRESS
46534;Tonya Christensen;02/05/2012;22:55:57;Yappa;wrong who words lock to warp;7;IN PROGRESS
46535;Katelyn Michael;30/07/2010;14:39:06;T-Network;throw are through is something to computer;7;IN PROGRESS
46536;Sue Mullen;04/02/2009;14:13:59;T-Network;it text moved are trying red;3;OPEN
46537;Josh Wilkins;15/09/2001;16:57:21;T-Network;something secretly;6;CLOSED
46538;Jon Bray;15/04/2016;23:47:59;PXL;code;10;IGNORE
46539;Tonya Ramos;22/03/2007;18:07:04;Cegeka;sill have secretly this asked assert sill;10;IN PROGRESS
46540;Brandi Figueroa;03/01/2002;10:40:05;Cegeka;visions;5;IGNORE
46541;Logan Franks;25/04/2012;22:35:53;Yappa;to will warp else should;0;IN PROGRESS
46542;Kenneth Buck;31/03/2016;01:15:39;T-Network;sofa speed came warp in no;7;OPEN
46543;Shannon Austin;08/01/2005;12:15:10;XCOMM;of so caves write;3;OPEN
46544;Willie Hendricks;02/10/2016;13:51:08;Mobistart;smoke books trees;9;OPEN
46545;Tommy Tillman;12/03/2013;10:21:22;PXL;;2;CLOSED
46546;Candy Diaz;20/05/2001;23:46:04;Proximus;trying red the;2;OPEN
46547;Kathy Clark;13/03/2001;01:55:59;Cegeka;much on have;0;IN PROGRESS
46548;Marcus Hensley;11/01/2005;18:12:36;Yappa;or maybe;1;IN PROGRESS
46549;Sydney Adams;04/11/2000;01:42:50;T-Network;;8;IGNORE
46550;Alice Davis;15/11/2011;23:11:11;Telenet;;10;IN PROGRESS
46551;Angel Maynard;20/01/2015;06:16:57;Eurosys;crash in it with they no;3;CLOSED
