20001;Jane Glenn;29/04/2015;23:47:53;T-Network;numbers badly books ball;1;OPEN
20002;Ricky Silva;20/03/2011;07:50:02;ACA-IT;shepherd are ill took write;1;CLOSED
20003;Rick Wyatt;13/09/2008;22:01:20;Proximus;demanded room was end found white was;5;OPEN
20004;Daniel Gregory;01/09/2016;01:21:53;Cegeka;is discovered text;4;CLOSED
20005;Richard Robles;16/07/2002;03:50:57;Cegeka;;4;CLOSED
20006;Valerie Sanford;10/09/2008;09:00:18;Eurosys;build;1;CLOSED
20007;Megan McMahon;30/10/2009;16:20:44;Yappa;;10;CLOSED
20008;Nina Giles;28/01/2000;13:23:21;XCOMM;the sits numbers;3;IGNORE
20009;Father Reynolds;16/03/2009;08:04:07;Cegeka;much trying handled end;1;OPEN
20010;Tara Ratliff;02/01/2003;20:56:09;Mobistart;came;4;IN PROGRESS
20011;Emily Ewing;05/03/2002;02:34:47;Proximus;will;7;OPEN
20012;Jan Harrington;23/08/2007;13:40:35;Yappa;ends visions numbers out came rabbit;2;IGNORE
20013;Kimberly Walker;30/12/2008;20:45:11;Telenet;find numbers assert hold;9;IN PROGRESS
20014;Rex Herrera;13/02/2011;00:41:56;Eurosys;;1;IN PROGRESS
20015;Paige Waters;25/04/2014;20:54:26;PXL;automatically;8;OPEN
20016;Vernon Lindsay;12/08/2009;08:39:56;Cegeka;hatch who in sill do this probably;8;IN PROGRESS
20017;Jon Little;31/01/2005;19:31:24;T-Network;do no;9;CLOSED
20018;Anna Moses;04/08/2002;11:12:12;Mobistart;web man;10;OPEN
20019;Kenneth Duncan;21/09/2016;23:01:01;T-Network;the;1;IN PROGRESS
20020;Josh Morris;25/04/2006;18:17:45;Proximus;moved library through badly;7;IN PROGRESS
20021;Victoria Jenkins;09/07/2011;17:40:03;T-Network;;3;OPEN
20022;Mariah Hardy;21/09/2003;12:27:40;Yappa;;1;CLOSED
20023;Peggy Murray;17/07/2003;18:25:52;ACA-IT;computer rabbit many was of boon;6;IN PROGRESS
20024;Carolyn Lawson;10/04/2004;02:54:01;Proximus;pull;6;IGNORE
20025;Nicholas Wolfe;24/02/2013;15:27:51;PXL;worn constantly it through;2;IGNORE
20026;Randi Kerr;20/04/2000;18:37:37;Cegeka;should;5;OPEN
20027;Lance Daniel;22/10/2010;11:15:16;ACA-IT;ship in;8;IN PROGRESS
20028;Chris Hester;07/01/2005;21:54:04;Eurosys;waited demanded;4;OPEN
20029;Pete Porter;26/04/2006;13:02:07;Eurosys;in sidekick smoke something computer it or maybe;1;CLOSED
20030;Patrick Rhodes;18/05/2007;01:25:58;Eurosys;many write;7;IN PROGRESS
20031;Dustin Nixon;26/08/2010;23:32:08;ACA-IT;;9;IGNORE
20032;Joey Whitfield;19/05/2005;03:57:54;Cegeka;island with on sidekick throw;7;IGNORE
20033;Lois Booker;03/11/2002;06:17:25;PXL;ghost what;8;CLOSED
20034;Barbara McDaniel;15/05/2001;08:46:58;Yappa;to it came is sits was sill;6;CLOSED
20035;Dale Rose;29/11/2014;09:51:13;Cegeka;hold;7;CLOSED
20036;Carrie Brady;11/07/2013;03:07:02;Proximus;I throw keys wrong computer rescue caves;7;OPEN
20037;Brooklyn Guthrie;22/06/2015;21:56:31;T-Network;hat;8;OPEN
20038;Jenna Callahan;15/05/2006;15:09:25;XCOMM;interest died;10;OPEN
20039;Vickie Everett;15/10/2009;23:32:41;T-Network;;3;OPEN
20040;Brooklyn Donaldson;23/03/2013;00:51:04;T-Network;others hat they good will trying;8;IGNORE
20041;Amy Hall;13/09/2011;11:14:42;T-Network;it I good sits discovered;7;IN PROGRESS
20042;Destiny Carroll;20/11/2009;12:47:50;ACA-IT;to television numbers pique out rescue;6;CLOSED
20043;Leslie Potts;03/06/2003;14:47:55;XCOMM;it keys;6;OPEN
20044;Miranda Alford;10/08/2010;00:26:18;XCOMM;of it about had in;9;CLOSED
20045;Regina Ross;14/07/2002;10:10:34;XCOMM;they;7;IGNORE
20046;Richard Jarvis;17/05/2013;05:22:00;Proximus;rescue;5;CLOSED
20047;Ashley Wynn;25/12/2001;09:13:00;PXL;;9;OPEN
20048;Madison Tate;15/08/2010;23:42:47;PXL;want;8;CLOSED
20049;Jeremy Miles;02/10/2002;13:13:58;Mobistart;suspense plane in;9;CLOSED
20050;Tony Mathews;10/02/2015;13:25:20;Mobistart;ship;0;OPEN
20051;Thelma Brennan;10/08/2014;22:34:53;Mobistart;in had good what badly suspense;0;IGNORE
20052;Debra Richmond;22/07/2009;05:55:17;Mobistart;window;9;IN PROGRESS
20053;Dillon Ellison;30/12/2001;22:47:58;Telenet;;5;IGNORE
20054;Unborn Trujillo;20/01/2013;23:29:37;Telenet;to;1;IN PROGRESS
20055;William Gilliam;09/12/2008;01:10:36;Proximus;web until took hatch or sill;3;IGNORE
20056;Dean Bartlett;25/10/2002;15:35:25;Mobistart;moved list a boon this boon;4;IN PROGRESS
20057;Lois Hurst;11/09/2003;02:04:13;Mobistart;with wicket captain on;1;IN PROGRESS
20058;Mariah Cote;18/07/2000;10:07:11;ACA-IT;are asked have my so ends window;6;OPEN
20059;Mickey Terry;23/03/2004;17:32:36;XCOMM;crash or sofa;5;IN PROGRESS
20060;Dominic Olson;20/02/2003;21:23:13;Proximus;books found out;4;IGNORE
20061;Glenn Callahan;02/03/2010;01:26:37;Cegeka;is about;2;CLOSED
20062;Rex Hancock;12/09/2005;17:18:19;Telenet;out they the sill;0;CLOSED
20063;Frank Jenkins;02/02/2004;04:09:22;Mobistart;have hatch find numbers computer show;6;IGNORE
20064;Chad Rogers;23/08/2010;14:10:49;XCOMM;automatically man white;5;IN PROGRESS
20065;Phyllis Parsons;12/05/2002;23:16:49;Eurosys;while want wicket want it's show or maybe;0;OPEN
20066;Martin Smith;12/06/2012;01:51:30;T-Network;;3;IGNORE
20067;Wyatt Keith;03/01/2002;00:08:54;XCOMM;do in island;6;CLOSED
20068;Sam England;03/08/2010;14:11:32;ACA-IT;;9;IN PROGRESS
20069;Victoria Strong;02/10/2004;04:55:20;T-Network;when build open fire it code;7;OPEN
20070;Erica Russell;28/09/2006;12:47:32;Yappa;sits should what;3;IGNORE
20071;Baby Fox;14/11/2004;18:36:38;Mobistart;banging have trees I something;2;OPEN
20072;Carla Jacobs;20/03/2009;14:20:36;XCOMM;;10;OPEN
20073;Jamie Henderson;23/09/2011;01:09:00;Telenet;will my hatch;1;CLOSED
20074;Marilyn Erickson;14/10/2015;06:10:01;Yappa;throw;5;IN PROGRESS
20075;Margaret Fowler;27/02/2005;09:32:07;Yappa;;3;CLOSED
20076;Cory Flynn;10/11/2014;02:56:01;Mobistart;lost crash as this list constantly what;1;CLOSED
20077;Chad Gomez;05/05/2001;00:55:29;ACA-IT;;10;OPEN
20078;Craig Cantu;13/10/2005;20:14:01;T-Network;headphones to had to it waited captain;0;CLOSED
20079;Dustin Witt;18/09/2004;19:38:21;Cegeka;who demanded;0;CLOSED
20080;Erica Hart;18/02/2000;21:46:01;Mobistart;the are cold should trees want;3;CLOSED
20081;Beverly Conway;07/02/2011;02:00:33;Proximus;leader to end;7;OPEN
20082;Darla Lawson;05/07/2008;00:45:57;Eurosys;what;8;IN PROGRESS
20083;Rick Hampton;24/11/2000;12:04:41;Eurosys;worn island always sacrifice;10;IN PROGRESS
20084;Kris Conway;05/04/2014;20:11:01;Proximus;computer much;4;IN PROGRESS
20085;Michael Barnes;17/10/2016;21:59:46;XCOMM;interest;0;IN PROGRESS
20086;Gina Hardy;29/12/2000;17:19:18;T-Network;lots red it's window rescue;8;OPEN
20087;Sherry Shannon;03/01/2004;17:03:31;Proximus;magnetic find world;9;CLOSED
20088;Baby Hill;29/10/2014;05:57:51;Yappa;numbers suspense from trying died ends ball;5;OPEN
20089;Jenna Gonzales;17/07/2007;19:25:28;XCOMM;enter pique ill it to island;8;IN PROGRESS
20090;Trey Jarvis;04/06/2007;17:59:04;Cegeka;secretly it smoke light smoke;0;OPEN
20091;Diane Bishop;03/09/2000;05:27:26;PXL;came lots or moved island wrong;0;IN PROGRESS
20092;Arthur Rosales;22/07/2011;08:11:59;ACA-IT;write island find or banging wicket;1;IGNORE
20093;Willie Meyer;21/04/2006;01:20:22;Cegeka;it ends;4;OPEN
20094;Tashia Reyes;09/06/2000;19:36:42;Mobistart;assert waited;0;IGNORE
20095;Russell Shaw;07/05/2014;23:58:17;Yappa;it when captain banging hat;1;IN PROGRESS
20096;Don McConnell;10/03/2008;18:30:26;Yappa;they hid;3;IN PROGRESS
20097;Erin Shields;26/05/2009;20:35:06;Telenet;fire do ending they are badly automatically;2;IGNORE
20098;Jodi Horne;20/07/2010;03:56:58;PXL;warp came caves ending;5;OPEN
20099;Albert Jenkins;20/10/2006;01:10:35;XCOMM;took television;1;IGNORE
20100;Bob Albert;25/02/2003;22:29:10;Cegeka;want monster hold trying found computer came;5;CLOSED
20101;Breanna Johnson;14/07/2012;21:58:29;PXL;moved;0;IN PROGRESS
20102;Phyllis Hutchinson;30/04/2016;11:18:38;Proximus;end my throw hold we hatch ship;3;IN PROGRESS
20103;Kristy Hoover;17/09/2007;00:18:31;PXL;as;3;OPEN
20104;Elaine May;31/12/2004;21:38:32;ACA-IT;words dad we;10;CLOSED
20105;Diana Hendricks;24/11/2004;19:25:36;Cegeka;list the;10;OPEN
20106;Lawrence Pruitt;19/06/2007;05:24:17;T-Network;to;3;IGNORE
20107;Audrey Mayer;10/01/2006;17:29:30;Telenet;in trying;0;IN PROGRESS
20108;Kathy Bonner;12/09/2004;09:48:01;Proximus;boon write took is;10;CLOSED
20109;Beth Puckett;30/05/2002;12:54:02;Cegeka;days red out;7;OPEN
20110;Brenda Russo;12/11/2006;22:17:18;Telenet;they when trees;0;IN PROGRESS
20111;Jasmine Craig;11/06/2016;21:26:22;Yappa;are hid red discovered had;9;IGNORE
