301;Jimmy Perry;21/04/2011;21:04:12;Proximus;;3;IN PROGRESS
302;Fred Nelson;15/07/2000;19:54:04;Yappa;;4;OPEN
303;Eugene Lowe;15/01/2012;11:32:51;ACA-IT;ship are;5;OPEN
304;Kristy Horne;13/08/2009;04:01:28;PXL;island with;6;OPEN
305;Wyatt Sharpe;06/06/2003;11:51:50;T-Network;came crash pique took trying on;6;IN PROGRESS
306;Allen Powers;27/05/2003;15:39:25;Proximus;magnetic demanded;4;CLOSED
307;Nicole Bartlett;03/02/2011;17:45:28;XCOMM;sill warp web of died;2;OPEN
308;Norma Diaz;24/07/2014;13:51:38;XCOMM;discovered sacrifice dreams island words will have;4;IN PROGRESS
309;Frank Bowman;29/03/2015;10:45:17;PXL;will when hid man lock;7;CLOSED
310;Christy Wood;19/11/2007;05:47:11;Yappa;;2;OPEN
311;Harley Moses;21/12/2011;12:26:33;PXL;where secretly;8;OPEN
312;Alexandra Lynch;19/01/2001;17:09:39;Yappa;interest they open fire computer;1;IGNORE
313;Jason Horne;08/04/2012;19:19:11;ACA-IT;;9;IGNORE
314;Jodi Hood;23/12/2012;08:24:00;Yappa;was rabbit;8;OPEN
315;Marcus Conrad;28/12/2002;21:54:14;XCOMM;dreams do cold;6;OPEN
316;Gail Harris;22/08/2008;10:13:36;Proximus;;1;IGNORE
317;Stephen Lara;14/04/2004;10:35:06;PXL;;0;IN PROGRESS
318;Mickey Hoover;03/02/2016;02:48:57;ACA-IT;leader handled code keys died is keys;4;IN PROGRESS
319;Nathan Nichols;19/05/2015;22:31:12;T-Network;was with magnetic plane they;3;OPEN
320;Tommy Schneider;14/08/2003;17:21:18;Proximus;will;9;IN PROGRESS
321;Benjamin Dickinson;07/03/2001;14:35:47;Mobistart;who warp;8;IN PROGRESS
322;Chasity Nichols;14/05/2004;19:57:47;Mobistart;died hold rescue assert asked what;5;IN PROGRESS
323;Jenna Ballard;21/03/2000;16:11:11;Proximus;world to wrong will write find;6;OPEN
324;Phillip Gibbs;15/07/2016;02:55:59;PXL;;0;IN PROGRESS
325;Brooklyn Park;07/09/2016;18:26:32;Eurosys;cold build came from good many;10;OPEN
326;Albert Scott;20/06/2010;10:15:33;Eurosys;should;4;OPEN
327;Jody Richmond;21/08/2003;08:54:08;Yappa;lots should;1;OPEN
328;Jacob Clay;12/10/2004;08:13:53;XCOMM;computer hat sidekick;2;CLOSED
329;Haley Kinney;12/02/2015;09:34:02;Cegeka;want;6;OPEN
330;Sean Barnes;29/07/2007;00:10:12;Eurosys;of ill through took shepherd;7;IGNORE
331;Brooklyn Torres;19/11/2010;18:29:38;ACA-IT;sits good to no;7;IN PROGRESS
332;Brenda Van halen;09/01/2014;17:10:29;XCOMM;had suspense interest speed do ill;2;OPEN
333;Daniel Larson;02/06/2001;07:33:31;ACA-IT;to ghost hatch of or;4;IGNORE
334;Abigail Fox;19/03/2004;17:41:47;T-Network;keys monster until world interest banging;3;IN PROGRESS
335;Hope Barr;10/09/2003;11:07:53;Cegeka;who will do hot text;1;CLOSED
