101;Earl Schneider;09/03/2006;09:21:57;Mobistart;in;4;IN PROGRESS
102;Autumn Dickerson;29/08/2009;01:23:58;Mobistart;while;9;OPEN
103;Dixie Lindsay;14/09/2001;17:09:20;PXL;generated find ends what it badly;3;IN PROGRESS
104;Phyllis Moody;27/07/2004;17:08:05;Cegeka;;8;IGNORE
105;Chasity Russo;04/01/2002;20:52:50;Telenet;;8;CLOSED
106;Norman Reed;22/04/2016;05:23:20;XCOMM;it's of something;9;OPEN
107;Sara Pearson;22/12/2005;13:00:32;Proximus;in out;0;IGNORE
108;Lewis McGuire;13/10/2000;16:13:56;Eurosys;many took sidekick;6;CLOSED
109;Ashley Drake;17/02/2000;00:10:13;T-Network;they until was headphones;6;IN PROGRESS
110;Austin Swanson;19/11/2001;18:04:39;Cegeka;came plane of else world;1;CLOSED
111;Nancy Hawkins;27/04/2015;21:07:35;Yappa;;4;IGNORE
112;Kelsey Little;24/04/2005;08:57:53;Cegeka;on generated;3;IN PROGRESS
113;Harold Church;26/01/2003;15:00:46;Mobistart;waited;4;IGNORE
114;Maria Carlson;27/11/2008;22:40:28;ACA-IT;warp;3;CLOSED
115;Dylan Bauer;24/05/2009;14:23:13;Proximus;interest;4;IN PROGRESS
116;Kim Clark;03/06/2015;05:08:51;PXL;to pique world sits as something else;2;IN PROGRESS
117;Dana Norman;25/11/2008;22:43:43;Cegeka;to television took code people always numbers;2;IGNORE
118;Jeremiah Levy;12/06/2011;18:41:34;T-Network;lost it to constantly leader;7;IN PROGRESS
119;Rose Glass;29/02/2000;16:38:29;ACA-IT;island they trying;3;IN PROGRESS
120;Jeremy Walsh;30/12/2008;14:31:00;Telenet;in it window;0;IGNORE
121;Timothy Rojas;13/08/2010;23:23:35;Proximus;found visions;5;IN PROGRESS
122;Dallas Holman;12/02/2014;16:41:02;PXL;red took do good words;8;IN PROGRESS
123;Joshua Scott;29/03/2010;10:12:14;ACA-IT;web island probably;6;CLOSED
124;Hunter Harper;17/06/2003;18:05:39;XCOMM;cold;1;IGNORE
125;Patricia Owens;23/07/2013;06:35:34;T-Network;what boon the;5;IGNORE
126;Trent McKnight;23/03/2005;23:11:13;Yappa;or maybe asked others;1;CLOSED
