201;Shaun Barry;14/08/2009;04:04:14;Proximus;television text came enter;5;CLOSED
202;Cynthia Moody;13/12/2014;19:47:08;Cegeka;computer;8;IN PROGRESS
203;Matt Church;02/10/2016;13:06:21;Yappa;worn sacrifice end;8;IN PROGRESS
204;Frank Chang;07/09/2002;10:39:04;ACA-IT;;5;CLOSED
205;Katherine Cline;02/05/2004;16:57:43;Cegeka;room or of ball do light will;5;CLOSED
206;Arthur Vasquez;22/05/2009;10:39:00;Proximus;do of my write a;3;IN PROGRESS
207;Gloria Ford;14/10/2014;04:04:41;T-Network;hatch with;7;OPEN
208;Monica Briggs;03/09/2012;16:10:32;ACA-IT;much came of plane;1;OPEN
209;Jan Holt;17/02/2013;18:27:26;Telenet;this computer or write hot are monster;2;IGNORE
210;Anna Cote;05/08/2005;22:15:21;Proximus;of ball is;1;IN PROGRESS
211;Tabitha Barnes;08/04/2006;00:13:16;Proximus;of so my sacrifice captain;5;CLOSED
212;Alicia Stevenson;28/05/2014;21:06:55;Mobistart;library to;4;OPEN
213;Craig Hill;08/04/2009;07:26:37;PXL;;0;CLOSED
214;Bethany Dorsey;02/05/2004;11:35:25;Eurosys;with sofa a;6;IGNORE
215;Ginger Stanton;30/09/2007;07:26:45;ACA-IT;hold visions hot interest world is sill;2;IN PROGRESS
216;Haley Rivera;15/12/2001;15:47:11;XCOMM;enter lots;2;OPEN
217;Betty Salazar;28/07/2009;18:46:19;T-Network;will they it;1;IGNORE
218;Raymond Hickman;19/04/2001;22:49:14;ACA-IT;was;2;IGNORE
219;Sherri Gilbert;11/07/2015;00:10:22;Yappa;was it's moved discovered;4;OPEN
220;Ian Garcia;11/05/2015;23:50:45;XCOMM;it's sidekick had write this this;1;IGNORE
221;Vicki Pratt;06/04/2005;14:29:39;Telenet;;6;OPEN
222;Jan Boyer;01/11/2006;22:52:41;Telenet;in;7;CLOSED
223;Marilyn Mann;18/12/2007;16:43:46;Proximus;open;10;IN PROGRESS
224;Deanna Lyons;06/07/2009;22:05:18;XCOMM;smoke trying people warp room;4;CLOSED
225;Peggy Cabrera;07/02/2013;15:53:14;Telenet;show had;5;CLOSED
226;Max Collins;29/11/2012;10:08:17;Proximus;about lots they with dad do;9;OPEN
227;Nicholas Jarvis;04/03/2015;03:57:20;Yappa;;1;IN PROGRESS
228;Katie Adkins;27/06/2005;05:44:35;Telenet;hatch dad hat;10;OPEN
229;Christopher Gonzalez;26/02/2010;20:53:52;Yappa;ball caves;4;OPEN
230;Mindy Sparks;01/03/2003;11:50:22;XCOMM;or maybe boon ghost found is island;9;IN PROGRESS
231;Olivia Le;20/02/2005;11:45:01;Eurosys;hatch enter;3;CLOSED
232;Tamara Mathis;08/05/2012;00:44:10;Mobistart;hatch who captain caves or this;7;IGNORE
233;Andrea Phelps;26/09/2004;19:18:56;T-Network;;10;IN PROGRESS
234;Hannah Dotson;12/07/2005;09:37:03;Cegeka;leader it visions of others enter;6;IGNORE
235;Kristina Gallagher;11/09/2007;21:25:43;Cegeka;badly;0;OPEN
236;Heath Richardson;27/08/2004;21:11:08;Cegeka;do write pull;6;IN PROGRESS
237;Dixie Chavez;24/08/2005;11:25:12;XCOMM;;6;OPEN
238;Keith Burnett;25/11/2002;13:34:21;Yappa;good list assert suspense;0;IN PROGRESS
239;Everett Conway;10/11/2013;17:58:33;Telenet;generated pique;3;CLOSED
240;Greg Hensley;17/08/2005;15:33:23;Telenet;hat constantly;0;OPEN
241;Tiffany Manning;06/03/2011;17:06:18;Telenet;in who handled;7;OPEN
242;Summer Rice;06/10/2005;15:17:04;PXL;lost books secretly code;5;IGNORE
243;Dillon Steele;01/11/2005;12:20:25;Eurosys;much generated;10;OPEN
244;Lloyd Kim;30/09/2016;04:03:54;Mobistart;died is;2;OPEN
